breederName,companyName,relationshipType,identityConfidence,relationshipConfidence,status,patentAssigneeCount,coListedEntityCount,cultivarMatchCount,directEvidenceCount,directEvidenceShare,rightsBasis,basis,source
"""Grupa """"Jagodnik""""""",,unresolved,high,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Acosta,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Alamo,Royal Berries / Hortifrut,breeding-program association,medium,low,review_required,0,0,3,0,0.0,none,3 same-cultivar records,record-derived affiliation graph
A. Algarra,Driscoll's,breeding-program association,medium,low,review_required,0,0,2,0,0.0,none,2 same-cultivar records,record-derived affiliation graph
A. and S. Baldock,Agriculture and Agri-Food Canada,breeding-program association,medium,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
A. Auwerkerken,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. B. Beakbane,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Barekye,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Baumschule Steiner,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Ben Ya’Acov .,ARO Volcani Citrus Breeding,breeding-program association,medium,low,review_required,0,0,3,0,0.0,none,3 same-cultivar records,record-derived affiliation graph
A. Beryl Beakbane,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Brand,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Brinkman,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Carrillo,IMIDA Fruit Breeding,breeding-program association,medium,high,probable_relationship,0,48,9,48,1.0,none,48 co-listed breeder/entity records; 9 same-cultivar records,record-derived affiliation graph
A. Delugar,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Dzheneva,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. El Tahiri,Driscoll's,breeding-program association,medium,low,review_required,0,0,2,0,0.0,none,2 same-cultivar records,record-derived affiliation graph
A. Ellen Thompson,Pacific Berry Breeding LLC,breeding-program association,medium,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
A. F. DeWet,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Gottesman,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Granger,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Green,Green and Red Apple Pty Ltd.,breeding-program association,medium,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
A. Guevara,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Kitajima,HIROSHIMA Prefecture KYOTO University,breeding-program association,medium,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
A. Koleva,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Lillo,Driscoll's,breeding-program association,medium,low,review_required,0,0,7,0,0.0,none,7 same-cultivar records,record-derived affiliation graph
A. Lister,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Malcolm,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. McWaters,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Nicotra,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Schiappacasse Macchiavello,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Ser Informado,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Sonnoli,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Spada,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Van Der Stukken,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Vandepoel-Beeten,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Vantini,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Varga,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Verain,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Waniale,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Ward,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Wilson,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A. Yamasaki,HIROSHIMA Prefecture KYOTO University,breeding-program association,medium,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
A. Zeppa,"John Wilkie, DAFF, Department of Agriculture, Fisheries and Forestry, Queensland",breeding-program association,medium,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
A. Zhivondov,Institute of Fruit Crops-Plovdiv,breeding-program association,medium,low,review_required,0,0,10,0,0.0,none,10 same-cultivar records,record-derived affiliation graph
A.B. Lombard,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A.B. Whitehouse,NIAB East Malling,breeding-program association,medium,medium,probable_relationship,0,1,5,1,1.0,none,1 co-listed breeder/entity records; 5 same-cultivar records,record-derived affiliation graph
A.B.Ya'Akov etal.,ARO Volcani Citrus Breeding,breeding-program association,medium,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
A.D. McGrath,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A.E. Sommerfeld Iii,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A.J. Antcliff,Commonwealth Scientific and Industrial Research Organisation,breeding-program association,medium,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
A.J.Felipe,R. SOCIAS I COMPANY,breeding-program association,medium,medium,probable_relationship,0,2,0,2,1.0,none,2 co-listed breeder/entity records,record-derived affiliation graph
A.L.Monroy,Driscoll's,breeding-program association,medium,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
A.P. Thomson,"Swart Farm, Citrusdal, Western Cape, South Africa",breeding-program association,medium,low,review_required,0,0,1,0,0.0,none,1 same-cultivar records,record-derived affiliation graph
A.R. Alton,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
A.R. Gilbertson,,unresolved,medium,unverified,unresolved,0,0,0,0,0,none,No company or program evidence found in the current public records.,record-derived affiliation graph
