canonicalName,website,ok,status,finalUrl,error,title,keywordCounts,evidenceLinks,contactUrl,contactOk,contactStatus,contactFinalUrl,contactError,sourceUrl,sourceOk,sourceStatus,sourceFinalUrl,sourceError,linkedinUrl,linkedinOk,linkedinStatus,linkedinError,newsLinksChecked,newsLinksOkCount,newsLinksFailed,qaStatus,auditFlags,probedAt
Bloom Fresh International,https://www.bloomfresh.com/,True,200,https://bloomfresh.com/,,BloomFresh.com,variety:1 | brand:2 | apple:5,,,False,,,No URL,https://www.bloomfresh.com/,True,200,https://bloomfresh.com/,,https://www.linkedin.com/company/bloomfresh-global/,True,not fetched,LinkedIn blocks many automated checks; manual browser QA required.,0,0,,verified_with_gaps,missing_contact_url | linkedin_manual_check_required,2026-07-15T20:07:11.327880+00:00
Sun World International,https://www.sun-world.com/,True,200,https://www.sun-world.com/,,Sun World - Global Fruit Variety Development &amp; Licensing,variety:17 | varieties:4 | genetic:5 | genetics:5 | brand:36 | grape:46 | cherry:1,Variety Rights Management <https://www.sun-world.com/variety-rights-management> | Branding <https://www.sun-world.com/branding> | Our Products <https://www.sun-world.com/brands> | Mangoes <https://www.sun-world.com/brands-mangoes> | Stone Fruit <https://www.sun-world.com/brands-stone-fruit> | FIND OUT MORE <https://www.sun-world.com/variety-rights-management?hsLang=en> | SEE MORE <https://www.sun-world.com/branding?hsLang=en>,https://www.sun-world.com/contact-us,True,200,https://www.sun-world.com/contact-us,,https://www.sun-world.com/,True,200,https://www.sun-world.com/,,,False,,No URL,0,0,,verified_with_gaps,missing_linkedin_url,2026-07-15T20:07:13.990910+00:00
International Fruit Genetics,https://www.bloomfresh.com/,True,200,https://bloomfresh.com/,,BloomFresh.com,variety:1 | brand:2 | apple:5,,,False,,,No URL,https://www.bloomfresh.com/,True,200,https://bloomfresh.com/,,https://www.linkedin.com/company/bloomfresh-global/,True,not fetched,LinkedIn blocks many automated checks; manual browser QA required.,0,0,,verified_with_gaps,missing_contact_url | linkedin_manual_check_required,2026-07-15T20:07:16.735767+00:00
SNFL Group,https://snflgroup.com/,True,200,https://snflgroup.com/,,Grape Innovation For Healthier Future | Table Grapes,varieties:113 | genetic:3 | genetics:3 | grape:19 | apple:1,Varieties <https://snflgroup.com/varieties/> | Red Seedless <https://snflgroup.com/varieties_category/red-seedless/> | Green Seedless <https://snflgroup.com/varieties_category/green-seedless/> | Black Seedless <https://snflgroup.com/varieties_category/black-seedless/> | Seedless Specialty <https://snflgroup.com/varieties_category/seedless-specialty/> | link <https://www.facebook.com/snflsheehangrapes/> | link <https://www.instagram.com/snfl_sheehan_grapes/?hl=en> | link <https://www.linkedin.com/company/sheehan-genetics/?viewAsMember=true>,https://snflgroup.com/contact/,True,200,https://snflgroup.com/contact/,,https://snflgroup.com/,True,200,https://snflgroup.com/,,https://www.linkedin.com/company/special-new-fruit-licensing-limited/,True,not fetched,LinkedIn blocks many automated checks; manual browser QA required.,0,0,,verified_with_gaps,linkedin_manual_check_required,2026-07-15T20:07:20.091193+00:00
Driscoll's,https://www.driscolls.com/,True,200,https://www.driscolls.com/,,Driscoll&#x27;s,blueberry:2 | strawberry:46 | raspberry:2 | blackberry:3,,https://www.driscolls.com/about/contact-us,True,200,https://www.driscolls.com/about/contact-us,,https://www.driscolls.com/,True,200,https://www.driscolls.com/,,https://www.linkedin.com/company/driscoll's/,True,not fetched,LinkedIn blocks many automated checks; manual browser QA required.,0,0,,verified_with_gaps,linkedin_manual_check_required,2026-07-15T20:07:21.698123+00:00
BerryWorld Plus,https://www.berryworld.com/,True,200,https://www.berryworld.com/,,Award-winning fresh berries | BerryWorld,varieties:2 | brand:145 | blueberry:5 | strawberry:5 | raspberry:5 | blackberry:5 | apple:2,Varieties <https://www.berryworld.com/berries/varieties>,https://www.berryworld.com/contact,True,200,https://www.berryworld.com/contact,,https://www.berryworld.com/,True,200,https://www.berryworld.com/,,https://www.linkedin.com/company/berryworld/,True,not fetched,LinkedIn blocks many automated checks; manual browser QA required.,0,0,,verified_with_gaps,linkedin_manual_check_required,2026-07-15T20:07:23.715025+00:00
Fall Creek Farm & Nursery,https://www.fallcreeknursery.com/,True,200,https://www.fallcreeknursery.com/,,Fall Creek® | World's Leading Blueberry Nursery Stock Company,variety:20 | varieties:26 | genetic:5 | genetics:5 | brand:2 | blueberry:19,Nursery Varieties <https://www.fallcreeknursery.com/nurseries/varieties> | Blueberry Varieties <https://www.fallcreeknursery.com/commercial-fruit-growers/varieties> | Variety Innovations <https://www.fallcreeknursery.com/variety-innovations> | Overview <https://www.fallcreeknursery.com/variety-innovations/overview> | Fall Creek® Breeding <https://www.fallcreeknursery.com/variety-innovations/fall-creek-breeding> | The Future of Blueberries <https://www.fallcreeknursery.com/variety-innovations/the-future-of-blueberries> | New Varieties <https://www.fallcreeknursery.com/variety-innovations/new-varieties> | Fall Creek® Collection <https://www.fallcreeknursery.com/variety-innovations/fall-creek-collection> | Contact Us <https://www.fallcreeknursery.com/commercial-fruit-growers/varieties/inquire>,https://www.fallcreeknursery.com/contact-us,True,200,https://www.fallcreeknursery.com/contact-us,,https://www.fallcreeknursery.com/,True,200,https://www.fallcreeknursery.com/,,,False,,No URL,1,1,,verified_with_gaps,missing_linkedin_url,2026-07-15T20:07:27.748831+00:00
Zaiger's Genetics,https://www.davewilson.com/about/zaiger/,True,200,https://www.davewilson.com/about/zaiger/,,Zaiger Genetics | Dave Wilson Nursery,variety:4 | genetic:12 | genetics:12 | patent:2 | trademark:2 | apple:3,,https://www.davewilson.com/contact/,True,200,https://www.davewilson.com/contact/,,https://www.davewilson.com/about/zaiger/,True,200,https://www.davewilson.com/about/zaiger/,,,False,,No URL,0,0,,verified_with_gaps,missing_linkedin_url,2026-07-15T20:07:28.137297+00:00
Agro Selections Fruits S.A.S.,,False,,,No URL,,,,,False,,,No URL,,False,,,No URL,,False,,No URL,0,0,,unresolved,missing_website | missing_contact_url | missing_linkedin_url | missing_source_url,2026-07-15T20:07:28.138567+00:00
Berry Genetics,,False,,,No URL,,,,,False,,,No URL,,False,,,No URL,,False,,No URL,0,0,,unresolved,missing_website | missing_contact_url | missing_linkedin_url | missing_source_url,2026-07-15T20:07:28.138567+00:00
