ownerName,ownershipStatus,dataConfidenceTier,dataConfidenceScore,actionabilityGate,recordCount,protectedIpCount,legalOwnerRecordCount,breederSignalRecordCount,relevantIpRecordCount,isCompanyProfile,isParentRollup,entityLikeName,publicOrgName,companyWebsite,companyContactUrl,topCrops,topJurisdictions,candidateParent,candidateParentBasis,candidateParentEvidenceUrl,rawEvidenceRoles,rawEvidenceExamples,confidenceReasons,auditIssues,recommendedNextStep
Arsène Maillard,breeder_only_signal,unverified,0,holder_verification_required,1018,500,0,1018,1016,False,False,False,False,,,Peach 780 | Nectarine 98 | Apricot 77 | Cherry-Sweet 33,QZ 337 | FR 243 | US 234 | CL 89,,,,cpvoBreeder:295,CPVO: 2025-02-17 - Peach - Sublor 2601 - 20191202 (cpvoBreeder) | CPVO: 2025-02-17 - Peach - Sublim 3801 - 20191201 (cpvoBreeder) | CPVO: 2025-02-17 - Peach - Sublim 3201 - 20201225 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Douglas V. Shaw,breeder_only_signal,unverified,0,holder_verification_required,335,265,0,335,335,False,False,False,False,,,Strawberry 333 | Apple 2,US 51 | QZ 34 | MX 28 | BR 27,"University of California or California Berry Cultivars LLC, record dependent",Applicant and assignee differ across the portfolio and must be evaluated record by record.,https://patents.justia.com/inventor/douglas-v-shaw,breeder:3 | inventor:3 | cpvoBreeder:239,"USPTO: 2025-05-27 - Strawberry - CBC017 - USPP 36,707 (breeder, inventor) | USPTO: 2024-09-24 - Strawberry - CBC015 - USPP 36,134 (breeder, inventor) | USPTO: 2023-05-30 - Strawberry - CBC005 - USPP 35,197 (breeder, inventor)",protected IP present | high-count breeder-only signal | candidate parent needs holder verification | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Alessio Martinelli,breeder_only_signal,unverified,0,holder_verification_required,266,191,0,266,266,False,False,False,False,,,Strawberry 149 | Apple 108 | Peach 9,QZ 71 | US 53 | UA 41 | CH 29,,,,cpvoBreeder:131,CPVO: 2025-10-06 - Strawberry - CIVS113 - 20212770 (cpvoBreeder) | CPVO: 2025-04-02 - Apple - RedPop - APP308 (cpvoBreeder) | CPVO: 2025-04-02 - Apple - CIVM49 - APP308 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Peter Stefan Boches,breeder_only_signal,unverified,0,holder_verification_required,171,120,0,171,169,False,False,False,False,,,Blueberry 166 | Blackberry 3 | Rubus 2,US 41 | QZ 30 | UA 28 | GB 14,,,,cpvoBreeder:153,CPVO: 2026-02-06 - Blueberry - FCM14-057 - 102026000078 (cpvoBreeder) | CPVO: 2026-02-03 - Blueberry - FC14-062 - 102026000066 (cpvoBreeder) | CPVO: 2026-01-28 - Blueberry - FC13-113 - P 2023 304 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Arlen Draper,breeder_only_signal,unverified,0,holder_verification_required,151,110,0,151,151,False,False,False,False,,,Blueberry 151,US 42 | MX 25 | QZ 22 | NZ 18,,,,cpvoBreeder:92,CPVO: 2024-02-29 - Blueberry - Drisbluenine - BLU044 (cpvoBreeder) | CPVO: 2022-12-08 - Blueberry - Drisbluethirteen - BLU045 (cpvoBreeder) | CPVO: 2022-09-22 - Blueberry - DRISBLUEFOURTEEN - 320-04-03661/2017-11 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Fred W. Anderson,breeder_only_signal,unverified,0,holder_verification_required,188,22,0,188,185,False,False,False,False,,,Nectarine 77 | Peach 60 | Almond 18 | Plum 15,US 135 | FR 46 | QZ 3 | IT 3,B Q Genetics,Official B Q Genetics history identifies the Bradford program as successor to Anderson's breeding business.,https://www.bradfordgenetics.com/bf.htm,cpvoBreeder:2,CPVO: 2017-06-09 - Almond - BUTTE - 20110286 (cpvoBreeder) | CPVO: 2017-06-09 - Almond - BUTTE - RVC20110286 (ES) (cpvoBreeder),protected IP present | high-count breeder-only signal | candidate parent needs holder verification | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Niels Arts,breeder_only_signal,unverified,0,holder_verification_required,100,82,0,100,98,False,False,False,False,,,Raspberry 72 | Blueberry 24 | Rubus 2 | Strawberry 2,US 37 | QZ 22 | MX 18 | GB 4,Advanced Berry Breeding / Allberry B.V. for fruit records only,Patent assignments differ by crop and must be rolled up at the record level.,https://patents.google.com/patent/USPP35904P3/en,breeder:20 | inventor:20 | cpvoBreeder:59,"USPTO: 2025-12-30 - Blueberry - FV2401 - USPP 37,183 (breeder, inventor) | USPTO: 2024-07-16 - Raspberry - ABB 135 - USPP 36,008 (breeder, inventor) | USPTO: 2024-07-02 - Raspberry - ABB 136 - USPP 35,904 (breeder, inventor)",protected IP present | high-count breeder-only signal | candidate parent needs holder verification | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Antonio A. Alamo Bermudo,breeder_only_signal,unverified,0,holder_verification_required,91,70,0,91,91,False,False,False,False,,,Blueberry 91,US 20 | QZ 16 | PE 16 | BR 10,Fall Creek Farm & Nursery,USPTO breeder string contains entity hint 'Fall Creek Farm & Nursery'.,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP37387,breeder:2 | inventor:2 | cpvoBreeder:52,"USPTO: 2026-04-28 - Blueberry - FCE18-015 - USPP 37,387 (breeder, inventor) | USPTO: 2025-01-28 - Blueberry - FCM14-057 - USPP 36,411 (breeder, inventor) | CPVO: 2025-11-11 - Blueberry - FCM14-052 - P 2024 310 (cpvoBreeder)",protected IP present | high-count breeder-only signal | candidate parent needs holder verification | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Victor Voth,breeder_only_signal,unverified,0,holder_verification_required,109,71,0,109,109,False,False,False,False,,,Strawberry 109,US 32 | IT 20 | FR 18 | QZ 7,,,,cpvoBreeder:72,CPVO: 2005-10-03 - Strawberry - Denomination not available - JO200506 (cpvoBreeder) | CPVO: 2005-04-03 - Strawberry - CAMAROSA - 218060015392003 (cpvoBreeder) | CPVO: 2003-09-22 - Strawberry - CAMAROSA - 60 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Raffaele Testolin,breeder_only_signal,unverified,0,holder_verification_required,86,63,0,86,86,False,False,False,False,,,Grape 54 | Kiwifruit 32,QZ 31 | US 26 | BR 12 | CA 6,,,,cpvoBreeder:66,CPVO: 2026-05-26 - Kiwifruit - AC 459 011 - 2553 (cpvoBreeder) | CPVO: 2026-03-10 - Kiwifruit - AC 497 076 - 218060000902026 (cpvoBreeder) | CPVO: 2026-02-27 - Kiwifruit - AC 501 022 - 218060000802026 (cpvoBreeder),protected IP present | high-count breeder-only signal | individual profile without legal-owner evidence,missing_company_profile | high_count_individual_profile | high_count_breeder_only_profile,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
