ownerName,candidateParent,candidateParentBasis,candidateParentEvidenceUrl,dataConfidenceTier,dataConfidenceScore,actionabilityGate,auditPriority,recordCount,legalOwnerRecordCount,breederSignalRecordCount,topCrops,topJurisdictions,rawEvidenceRoles,rawEvidenceExamples,recommendedNextStep
Arsene et Laurence Maillard,Agro Selections Fruits S.A.S.,"Local US patent records list Agro Selections Fruits with Arsene/Laurence Maillard as breeders, but many CPVO records are breeder-only and should not be merged until holder/applicant evidence is verified.",,unverified,0,holder_verification_required,critical,1013,0,1013,Peach 782 | Nectarine 91 | Apricot 77 | Cherry-Sweet 33,QZ 337 | FR 243 | US 234 | CL 89,cpvoBreeder:240,CPVO: 2018-01-01 - Peach - Nectarperf - 4054103 (cpvoBreeder) | CPVO: 2018-01-01 - Peach - NECTARPERF - 4054103.0 (FR) (cpvoBreeder) | CPVO: 2018-01-01 - Apricot - Aprireve - 4054106 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Rene Monteux-Caillet,,"Large CPVO peach/nectarine breeder signal, but current local data does not identify a reliable company holder.",,unverified,0,holder_verification_required,critical,513,0,513,Peach 496 | Apricot 13 | Nectarine 3 | Prunus 1,FR 279 | QZ 201 | ES 15 | MA 6,cpvoBreeder:433,CPVO: 2024-03-12 - Peach - Monclaire - 24259007 (cpvoBreeder) | CPVO: 2020-07-06 - Peach - Monami - 20536 (cpvoBreeder) | CPVO: 2020-06-05 - Nectarine - Moncante - 2014321 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Laurence Maillard,Agro Selections Fruits S.A.S.,"Local US patent records list Agro Selections Fruits with Arsene/Laurence Maillard as breeders, but CPVO rows split the person names in multiple forms.",https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP31379,unverified,0,holder_verification_required,critical,459,0,459,Peach 318 | Nectarine 70 | Apricot 34 | Cherry-Sweet 22,US 228 | QZ 225 | NZ 4 | BR 1,breeder:3 | inventor:3 | cpvoBreeder:664,"USPTO: 2020-01-21 - Apricot - Aprilove - USPP 31,379 (breeder, inventor) | USPTO: 2018-11-27 - Apricot - Apricandy - USPP 29,883 (breeder, inventor) | USPTO: 2016-08-09 - Apricot - Aprireve - USPP 27,031 (breeder, inventor)",Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Vincent David Andrew Mazzardis,,,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP35434,unverified,0,holder_verification_required,critical,260,0,260,Blueberry 217 | Peach 43,MX 51 | QZ 49 | PE 41 | GB 23,breeder:20 | inventor:20 | cpvoBreeder:139,"USPTO: 2023-10-24 - Blueberry - NS 16-6 - USPP 35,434 (breeder, inventor) | USPTO: 2022-08-02 - Blueberry - NS 15-14 - USPP 34,465 (breeder, inventor) | USPTO: 2022-08-02 - Blueberry - NS 15-15 - USPP 34,464 (breeder, inventor)",Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
Sat 9413 Frutaria,,,,unverified,0,holder_verification_required,critical,214,0,214,Peach 160 | Plum 37 | Apricot 16 | Grape 1,QZ 112 | ES 102,cpvoBreeder:208,CPVO: 2019-02-05 - Plum - SWEET_IRIDIS_4 - RVP20145181 (ES) (cpvoBreeder) | CPVO: 2019-02-05 - Plum - SWEET IRIDIS 4 - 20145181 (cpvoBreeder) | CPVO: 2019-02-05 - Plum - SWEET IRIDIS 4 - RVP20145181 (ES) (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
Fred W. Anderson,,,,unverified,0,holder_verification_required,critical,188,0,188,Nectarine 77 | Peach 60 | Almond 18 | Plum 15,US 135 | FR 46 | QZ 3 | IT 3,cpvoBreeder:2,CPVO: 2017-06-09 - Almond - BUTTE - 20110286 (cpvoBreeder) | CPVO: 2017-06-09 - Almond - BUTTE - RVC20110286 (ES) (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Sedov Evgenij NIKOLAEVICh,,,,unverified,0,holder_verification_required,critical,179,0,179,Apple 117 | Grape 21 | Currant-Black 15 | Pear 8,RU 179,cpvoBreeder:125,CPVO: 2020-06-03 - Apple - DEN' POBEDY - 68377 (cpvoBreeder) | CPVO: 2019-08-08 - Apple - SOYuZ - 78519 (cpvoBreeder) | CPVO: 2019-03-06 - Apple - SOYuZ - 51249 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
IVIA,,,,unverified,0,holder_verification_required,critical,151,0,151,Citrus 95 | Apricot 42 | Peach 12 | Pomegranate 2,ES 88 | QZ 63,breeder:2 | inventor:2 | cpvoBreeder:314,"USPTO: 2018-08-01 - Apricot - Dama Rosa - HortScience 53(8):1228-1229 (breeder, inventor) | USPTO: 2018-08-01 - Apricot - Dama Taronja - HortScience 53(8):1228-1229 (breeder, inventor) | CPVO: 2025-07-06 - Citrus - 37A21 - 20195497 (cpvoBreeder)",Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
"FRESAS NUEVOS MATERIALES, S.A.",,,,unverified,0,holder_verification_required,critical,144,0,144,Strawberry 141 | Raspberry 3,ES 68 | QZ 61 | UY 12 | CA 3,breeder:1 | inventor:1 | cpvoBreeder:145,"USPTO: 2025-12-09 - Strawberry - Duna FNM - MX PBRA CP 3710 (breeder, inventor) | CPVO: 2025-11-12 - Strawberry - Duna FNM - 25-12247 (cpvoBreeder) | CPVO: 2024-01-28 - Strawberry - DIVINE FNM - 20205573 (cpvoBreeder)",Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
Pepinieres et Roseraies Georges Delbard,,,,unverified,0,holder_verification_required,critical,144,0,144,Apple 97 | Pear 17 | Strawberry 10 | Cherry-Sweet 5,FR 92 | QZ 42 | NZ 5 | ES 3,cpvoBreeder:137,CPVO: 2017-06-20 - Cherry-Sweet - POISDEL - 20052 (cpvoBreeder) | CPVO: 2017-06-20 - Cherry-Sweet - POISDEL - 20052.0 (FR) (cpvoBreeder) | CPVO: 2016-09-29 - Apple - DELCORED - 20050 (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
Masiá Ciscar S.A.,,,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP37417,unverified,0,holder_verification_required,critical,143,0,143,Strawberry 80 | Hazelnut 39 | Avocado 11 | Kiwifruit 5,ES 46 | QZ 44 | US 41 | CA 6,breeder:4 | inventor:4 | cpvoBreeder:77,"USPTO: 2026-05-12 - Strawberry - MC18-20 Cleopatra (MC18 20) - USPP 37,417 (breeder, inventor) | USPTO: 2025-09-29 - Strawberry - MC19 101 (MC19-101 in Canada) - CA PBRA 25-12194 (breeder, inventor) | USPTO: 2025-09-29 - Strawberry - MC21 04 (MC21-04 in Canada) - CA PBRA 25-12195 (breeder, inventor)",Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
James F. Hancock,Berry Blue,USPTO breeder string contains entity hint 'Berry Blue'.,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP35365,unverified,0,holder_verification_required,critical,138,0,138,Blueberry 131 | Strawberry 6 | Apricot 1,US 54 | QZ 25 | UA 16 | CA 10,breeder:14 | inventor:14 | cpvoBreeder:85,"USPTO: 2023-09-05 - Blueberry - Capella (MSU 120) - USPP 35,365 (breeder, inventor) | USPTO: 2023-03-14 - Blueberry - BB14-232PT-2 - USPP 35,026 (breeder, inventor) | USPTO: 2022-10-04 - Blueberry - BB14-321NA-1 - USPP 34,620 (breeder, inventor)",Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
TROShIN Leonid PETROVICh,,,,unverified,0,holder_verification_required,critical,128,0,128,Grape 128,RU 128,cpvoBreeder:127,CPVO: 2019-12-24 - Grape - KAZAK ALEKSANDR MAHOVITSKIJ - 80531 (cpvoBreeder) | CPVO: 2018-11-12 - Grape - VANYuShA - 69351 (cpvoBreeder) | CPVO: 2018-11-12 - Grape - ANTONIJ VELIKIJ - 69352 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Ca Merced,,,,unverified,0,holder_verification_required,critical,127,0,127,Nectarine 73 | Almond 16 | Plum 14 | Peach 12,US 127,,,Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Gianfranco Castagnoli,,,,unverified,0,holder_verification_required,critical,127,0,127,Strawberry 65 | Apple 56 | Peach 6,QZ 35 | US 33 | RU 22 | CH 18,cpvoBreeder:81,CPVO: 2022-03-01 - Apple - CIV323 - 2016217 (cpvoBreeder) | CPVO: 2022-03-01 - Apple - B8A3 - 323 - 2016217 (cpvoBreeder) | CPVO: 2020-11-19 - Apple - CIVP21 - 1996 (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
Serova ZOYa Mihajlovna,,,,unverified,0,holder_verification_required,critical,108,0,108,Apple 92 | Apricot 12 | Plum 2 | Currant-Black 1,RU 108,cpvoBreeder:92,CPVO: 2020-06-03 - Apple - DEN' POBEDY - 68377 (cpvoBreeder) | CPVO: 2019-08-08 - Apple - SOYuZ - 78519 (cpvoBreeder) | CPVO: 2019-03-06 - Apple - SOYuZ - 51249 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Eremin Gennadij VIKTOROVICh,,,,unverified,0,holder_verification_required,critical,107,0,107,Plum 42 | Prunus 40 | Peach 6 | Apple 6,RU 107,cpvoBreeder:107,CPVO: 2019-12-26 - Plum - VENGERKA NOVAYa - 59116 (cpvoBreeder) | CPVO: 2019-12-26 - Plum - KUBANSKAYa YuBILEJNAYa - 60528 (cpvoBreeder) | CPVO: 2019-12-26 - Cherry-Sweet - KAMELIYa - 53616 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Kalinina Ida Pavlovna,,,,unverified,0,holder_verification_required,critical,106,0,106,Apple 50 | Currant-Black 26 | Raspberry 8 | Prunus 7,RU 106,cpvoBreeder:97,CPVO: 2020-05-21 - Currant-Black - BARITON - 79055 (cpvoBreeder) | CPVO: 2019-03-06 - Currant-Black - BARITON - 54084 (cpvoBreeder) | CPVO: 2017-11-29 - Currant-Black - YuBILEJNAYa LISAVENKO - 74327 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Sal Giumarra,,,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP26682,unverified,0,holder_verification_required,critical,101,0,101,Grape 101,US 40 | QZ 18 | CL 16 | IL 9,breeder:7 | inventor:7 | cpvoBreeder:74,"USPTO: 2016-05-03 - Grape - Arratwentyseven - USPP 26,682 (breeder, inventor) | USPTO: 2016-02-02 - Grape - Arraeighteen - USPP 26,370 (breeder, inventor) | USPTO: 2016-02-02 - Grape - Arratwentyfive - USPP 26,372 (breeder, inventor)",Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
Niels Arts,Allberry B.V.,USPTO breeder string contains entity hint 'Allberry B.V.'.,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP37183,unverified,0,holder_verification_required,critical,100,0,100,Raspberry 72 | Blueberry 24 | Rubus 2 | Strawberry 2,US 37 | QZ 22 | MX 18 | GB 4,breeder:20 | inventor:20 | cpvoBreeder:59,"USPTO: 2025-12-30 - Blueberry - FV2401 - USPP 37,183 (breeder, inventor) | USPTO: 2024-07-16 - Raspberry - ABB 135 - USPP 36,008 (breeder, inventor) | USPTO: 2024-07-02 - Raspberry - ABB 136 - USPP 35,904 (breeder, inventor)",Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Smykov Vladimir KARPOVICh,,,,unverified,0,holder_verification_required,critical,97,0,97,Peach 72 | Apricot 20 | Nectarine 3 | Apple 2,RU 97,cpvoBreeder:97,CPVO: 2018-11-23 - Apricot - AL'TAIR - 66772 (cpvoBreeder) | CPVO: 2018-01-15 - Apricot - BOYaRIN - 74998 (cpvoBreeder) | CPVO: 2017-07-13 - Apricot - YuZhANIN - 66776 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Perfil'Eva ZOYa Nikolaevna,,,,unverified,0,holder_verification_required,critical,96,0,96,Peach 67 | Apple 13 | Plum 9 | Pear 6,RU 96,cpvoBreeder:67,CPVO: 2017-07-13 - Peach - SOPRANO - 66796 (cpvoBreeder) | CPVO: 2017-05-16 - Peach - STRELETS - 66794 (cpvoBreeder) | CPVO: 2017-04-25 - Peach - PODAROK LIKE - 66813 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
SERIDA,,,,unverified,0,holder_verification_required,critical,94,0,94,Apple 94,ES 51 | QZ 43,cpvoBreeder:110,CPVO: 2026-02-10 - Apple - PERURICO RAYADA - 20205531 (cpvoBreeder) | CPVO: 2026-02-10 - Apple - PERURICO PRECOZ - 20205531 (cpvoBreeder) | CPVO: 2025-07-06 - Apple - ROSADONA - 20205537 (cpvoBreeder),Find holder/applicant evidence; treat CPVO-only breeder profiles as lower-confidence until verified.
Smykov Anatolij VLADIMIROVICh,,,,unverified,0,holder_verification_required,critical,91,0,91,Peach 60 | Grape 20 | Raspberry 9 | Apple 2,RU 91,cpvoBreeder:61,CPVO: 2018-02-28 - Peach - SARABUZ - 75214 (cpvoBreeder) | CPVO: 2017-07-13 - Peach - SOPRANO - 66796 (cpvoBreeder) | CPVO: 2017-05-16 - Peach - STRELETS - 66794 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Kazakov Ivan VASIL'EVICh,,,,unverified,0,holder_verification_required,critical,91,0,91,Raspberry 68 | Currant-Black 18 | Kiwifruit 4 | Apple 1,RU 91,cpvoBreeder:86,CPVO: 2019-12-26 - Currant-Black - DEBRYaNSK - 47102 (cpvoBreeder) | CPVO: 2019-09-06 - Raspberry - NIKA - 78750 (cpvoBreeder) | CPVO: 2017-02-28 - Raspberry - POKLON KAZAKOVU - 60860 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
Dutova LIDIYa Ivanovna,,,,unverified,0,holder_verification_required,critical,89,0,89,Apple 67 | Currant-Black 11 | Apricot 3 | Cherry-Tart 3,RU 89,cpvoBreeder:42,CPVO: 2019-12-26 - Apple - FEYa - 47916 (cpvoBreeder) | CPVO: 2019-08-08 - Apple - SOYuZ - 78519 (cpvoBreeder) | CPVO: 2019-03-06 - Apple - SOYuZ - 51249 (cpvoBreeder),Check raw breeder strings and assign this profile to a parent company only if source evidence is clear.
